   4.9860013376576261E-003   4.9862505132313397E-005
   4.9859877668666924E-003   4.9862369417624215E-005
   4.9859021242000421E-003   4.9861512948155755E-005
   4.9857600166459109E-003   4.9860091801604188E-005
   4.9856005259326245E-003   4.9858496814758471E-005
   4.9853944044554498E-003   4.9856435496977739E-005
   4.9852321283416394E-003   4.9854812654749145E-005
   4.9848914847219726E-003   4.9851406048315544E-005
   4.9844964423712479E-003   4.9847455427384375E-005
   4.9842903039840130E-003   4.9845393940494640E-005
   4.9836499815251066E-003   4.9838990395900382E-005
   4.9835817173876128E-003   4.9838307720408101E-005
   4.9832150075588963E-003   4.9834640438862476E-005
   4.9830088436716999E-003   4.9832578696954140E-005
   4.9827052735469078E-003   4.9829542844001819E-005
   4.9825106180114145E-003   4.9827596191364773E-005
   4.9821892450813378E-003   4.9824382301464902E-005
   4.9816688348342433E-003   4.9819177938910485E-005
   4.9811462975306309E-003   4.9813952304745395E-005
   4.9807701642519729E-003   4.9810190783978865E-005
   4.9804618019980845E-003   4.9807107007333935E-005
   4.9796969929008401E-003   4.9799458534157206E-005
   4.9793867329687653E-003   4.9796355779772399E-005
   4.9785641101243042E-003   4.9788129140223788E-005
   4.9781256720233379E-003   4.9783744540105371E-005
   4.9771986943989831E-003   4.9774474300604564E-005
   4.9762254091470269E-003   4.9764740961692088E-005
   4.9753894241256714E-003   4.9756380693693003E-005
   4.9745235963469352E-003   4.9747721983207082E-005
   4.9732392814917873E-003   4.9734878192824513E-005
   4.9722171519082379E-003   4.9724656386168766E-005
   4.9699655718600287E-003   4.9702139460462465E-005
   4.9691126604707253E-003   4.9693609920321937E-005
   4.9679287793216150E-003   4.9681770517191887E-005
   4.9665693842884228E-003   4.9668175887498244E-005
   4.9653549892170667E-003   4.9656031329890925E-005
   4.9639996030159377E-003   4.9642476790522282E-005
   4.9639031993366032E-003   4.9641512705553253E-005
   4.9628573757856224E-003   4.9631053947391421E-005
   4.9610540004328624E-003   4.9613019292633376E-005
   4.9596202524022298E-003   4.9598681095806112E-005
   4.9581451196501749E-003   4.9583929031086723E-005
   4.9567455865021284E-003   4.9569933000189374E-005
   4.9555846834316410E-003   4.9558323389323643E-005
   4.9546519335501383E-003   4.9548995424366220E-005
   4.9533045635724443E-003   4.9535521051248947E-005
   4.9524037701797856E-003   4.9526512667149103E-005
   4.9501644226036690E-003   4.9504118072263161E-005
   4.9485906348437098E-003   4.9488379408163949E-005
   4.9471623673255369E-003   4.9474096019216227E-005
   4.9456566888977970E-003   4.9459038482474743E-005
   4.9438626611476135E-003   4.9441097308397048E-005
   4.9422384770091855E-003   4.9424854655325494E-005
   4.9414103825118419E-003   4.9416573296519004E-005
   4.9395999845903973E-003   4.9398468412556434E-005
   4.9382073981795978E-003   4.9384541852503649E-005
   4.9378602990244802E-003   4.9381070687483963E-005
   4.9366854153987672E-003   4.9369321264085526E-005
   4.9355018288705591E-003   4.9357484807306586E-005
   4.9337151805407516E-003   4.9339617431125592E-005
   4.9319055747561631E-003   4.9321520468924643E-005
